#Keys           100
#Texts/Key 1073741824
#Steps            3
Alpha: 0000000080008000
Delta: 8300830281008102
key: 61af73ee9e10e1dd090aad4c9c4a309e
Counter: 9677
key: f26dfdc095cbe2e67aaa02c82da4c306
Counter: 14100
key: 7f5c56b8102de72d51ffce544f416993
Counter: 17438
key: d82b5652b1a0cc33cbbe19723ca95732
Counter: 12328
key: c2142ee6c6026748b41ea86ad0063174
Counter: 18036
key: 64deef346e7bbcb352bb476440b01ed1
Counter: 16731
key: 9d5a1af239da1b02f54d2447a13f0c27
Counter: 11995
key: 372b4ae4cc5dadbdd954342acbe07cc2
Counter: 16502
key: 34f6d6463461ae8cd8bfb2ac29cf9dd0
Counter: 13361
key: 8746dd98bc137e9546231cd653218482
Counter: 9121
key: 0cb69d996824d90b91ec7599ac8d154f
Counter: 11344
key: 360a5eb80ddb5fc65ac048dbec1b4e22
Counter: 14970
key: 2fc8ebd8cc6120f44b4d9cf87e66d35a
Counter: 14202
key: f1eb5bc15c29c91d865dfaad5a324731
Counter: 12604
key: 807c58cd736f43296a5ee83b3acb2851
Counter: 13595
key: 667275b893dc619eccd8e4fcdec527a3
Counter: 17691
key: 449d19f19ec0ba800aca08129928caf6
Counter: 9802
key: 4bc7e97500d19d946f15d711aee02afa
Counter: 9756
key: 0af127de56d78aa243bbc1123c9a4ae6
Counter: 9597
key: 2e38fcbb424108ed21494fdf89299415
Counter: 14021
key: 744b9f6124fed9a120dfb63728f387d1
Counter: 13488
key: ba8665ed1ff4272609c59a335947439d
Counter: 10053
key: 8c7f040765634b8e80f3f322c361fa55
Counter: 9924
key: daabe9631484f462c5d614d02af5495e
Counter: 17972
key: 0af33ff95175b9507832042d53778fbb
Counter: 17838
key: 8170732187d813617fe23de6144cab60
Counter: 16513
key: f8f4af2ffc73b79c2a097b9038b9478d
Counter: 17565
key: 52b2f1c0a3a4e345df7ae890c43d8dcc
Counter: 11418
key: 149b02be0296349cffb17154bec330df
Counter: 10612
key: 36d011ec479f069df5da22efa5f3e201
Counter: 17656
key: e060d948d2df565a49caa15f94713f5d
Counter: 17174
key: 4f8f1c0831062e59ce46d7769db3edb5
Counter: 12098
key: bfeb8a1ff93ea9a1c662856f75107d8a
Counter: 13320
key: b84efa70f22b75d32c7264a4dfccba2d
Counter: 17986
key: c7d232133de47c854415f0822cda3e0f
Counter: 12164
key: cd24c859f4b29827693a7740613a8480
Counter: 9579
key: 2fb59b0bf9d4d24728713c5cf12fce42
Counter: 9910
key: 6285a00b57f515067a8636dd59e1e73a
Counter: 9395
key: 7f42e488bf9c6315c6f80c793389faf2
Counter: 9213
key: 5ae5d62314bc0209436a529a9b1a9c98
Counter: 18265
key: cc3d3300f498ac93b462b1f97a9e38d1
Counter: 13605
key: b86edcf5fe65c74db8da672e35e3a4c3
Counter: 9194
key: 2ceaf098dc4e6bb39d6f94daff2107f0
Counter: 13447
key: 7012f2b6d1767d0bb8b3735c21d6c62f
Counter: 14498
key: 60619c2af0e45cb35456fac25e8e3cf2
Counter: 11963
key: 02efbdcee4251438dc8489554fbd4b61
Counter: 17234
key: 7b9f62b30e82506f19798d912db4fbc3
Counter: 16678
key: 062fdaa59891052d8a01804f25daa591
Counter: 10630
key: b18d26dcd6c4689196c2aa58b41fafe0
Counter: 13683
key: bf2ea46b8008b9b88d02dad03e8db75d
Counter: 11890
key: 9c9638b31b4823691fe4d03d4dccbdd6
Counter: 13208
key: 00780e09eee3ada608ef56dbe87b101d
Counter: 13013
key: 80d7e91c996ec7c96d62da5a188499d0
Counter: 16734
key: 79e78c1c5766f8d9f630dd0d62699754
Counter: 12511
key: 9140c77f80bc2acc6dc20329077e13c8
Counter: 10301
key: bb8fe36b69831dc28631f639969e9fb8
Counter: 11533
key: 7750d7b6ca3e7b2216a356aa7e8a9967
Counter: 10921
key: 7d0cf4be89c12d4fcb2189aa0866e384
Counter: 9443
key: c9be33f4f1f808af404b8413b4a1e613
Counter: 14693
key: 1c0cfe346920cd8e01862d2939696979
Counter: 18226
key: ef27799373a52e5dd126e8257c38775f
Counter: 9365
key: 0407b6434ced4e60ef9a6804b02ab5fa
Counter: 13734
key: 893f32ba990eafe72e8845c7f41e161f
Counter: 9570
key: 965176f543b3faf4e557bb45c3147859
Counter: 17503
key: 384fa83b11fde5503e8bb62e52f1b414
Counter: 12993
key: a377b91d26d83f8759b9ab8acda6150a
Counter: 14449
key: cb20874e0c572d2c2cffbbef3441dae1
Counter: 14668
key: c451ce397d2a4b28bb1bf2b1ab3e0752
Counter: 12733
key: 8a2bcb32eed3bdfa84dbf90648c2c673
Counter: 9250
key: 9883fdd7a4402204ef702676afe841b8
Counter: 13587
key: a44a20bf2f77fbc1510e30c8e66213db
Counter: 9577
key: fe527ae5bab1f37ae74f89ecc3203e5d
Counter: 12463
key: d8309a2bd96004dae8af2e9505d5014a
Counter: 13274
key: 87b4f7bcb3ad6613e39dac45889b692d
Counter: 18082
key: b9ba386f8c54232add838836cecd6393
Counter: 11522
key: aff236c4adbf77be3726805b99f38404
Counter: 12201
key: e7b8a3472b385ca49e3ed8ab13451950
Counter: 11628
key: c2b1070f43314aa119ecae437efa8e0d
Counter: 11314
key: d10e34f39e934f3b1f16f62d72df2750
Counter: 13626
key: 08bf975a2acf647b1c6d1675c3b3a1e7
Counter: 11380
key: cbd7ede7bd70764b06618a20e7f0b20b
Counter: 9286
key: 40a8b617ddef76de893f1614f625196e
Counter: 13781
key: f83de05276e169a5839eb3f8d8314c4d
Counter: 13146
key: 37c3fadefdf37b14cf4c4040e2027338
Counter: 13333
key: 94ce7ba85eb7696c35f39608aec16696
Counter: 16937
key: 6831a4851364f18acabf9020d35c8002
Counter: 10069
key: b2bb90950422dbde2a52648d260963bd
Counter: 17587
key: 8e8c90f88a5a17ebd2009e3d1ce1ebdd
Counter: 17809
key: 5d5b7c341c0194bd48678982c90e1ff3
Counter: 13650
key: 0daf98584c7d3960a9f7b771951d375d
Counter: 13974
key: 586f36354c204a9d6679e03144570e91
Counter: 10110
key: faa3b54c35a194da7f9fc2e209a09556
Counter: 9629
key: 1e091689b929fbc295a6dabfde5dfdb2
Counter: 12751
key: 3336f8e6705bf441010f5953c877a322
Counter: 17663
key: 8fba9aef54a21358acdf804b74499e6c
Counter: 13655
key: 04807fd188a31e16318d69ca41f06cac
Counter: 12212
key: d1618eb01d52ef1f35c8b46164c85a87
Counter: 16649
key: 4b44bfcaeb4065c861bfdaf0ff10c4f4
Counter: 17773
key: d809e54407ff78f3936891eb2ed2f419
Counter: 14404
key: 306c2fb24a742073fc16b8f4cc8549b6
Counter: 10000
