#Keys           100
#Texts/Key 1073741824
#Steps            3
Alpha: 0000000080008000
Delta: 4040400000400000
key: 0662ac4635c53e2d295a4f702513c626
Counter: 12
key: 43b30705e4fd4735e291bca871873454
Counter: 5
key: dc766a750dbaa6a25c91bbc5b31e80ad
Counter: 8
key: e13073b91768b3306497c6f739646579
Counter: 9
key: 9aaac770e22db3e86eb441a18e76ce18
Counter: 4
key: 8d3d954ff68e2724ce017fe9f06a1c02
Counter: 4
key: 7ad73ee76200fc9e004682d4260b6b3e
Counter: 7
key: d797b6bd8c61edf748c037502369b6e4
Counter: 5
key: df13fc7ebae4bc5cafbfe36ddaa7f401
Counter: 7
key: 769d980719abe2f08064cbe53f877dd6
Counter: 5
key: 598776e25a37c539976dc952c7825192
Counter: 11
key: fb8e650105f2edcf682d8d582a599e76
Counter: 2
key: 82fc3a75716611eda02b33975010a4b4
Counter: 6
key: cfcd9523d1033a1ab7f87fa1ace4d07c
Counter: 6
key: b8e00acb747ce0ab1d07b34dff7d5927
Counter: 4
key: f59d9861455e47325a32368ffdc9d5d7
Counter: 8
key: 71107e5846bc30b07a1ddb6fc15b8d0f
Counter: 2
key: 3f928396f75379e638d9617239a8715a
Counter: 8
key: c23b7cb472201d699e5e905103858979
Counter: 2
key: 2af17068c20238b1cb0a2e14c824ec40
Counter: 8
key: 2e300cdb2c28a735a6d58eb8bd3595e7
Counter: 7
key: a5fb0a5f61db068bdbea3ca85b10d16b
Counter: 7
key: 4edc35d6f9127412018ff97bc7c5c63e
Counter: 7
key: 5e80d9fb57503bea36328b02c0e563b9
Counter: 9
key: 681c5cfa65a268b794e252af9bfbd91f
Counter: 6
key: 3398999c43e793f50fb777ab1ef4fb16
Counter: 7
key: 415ecc2ad024b351277b3479e3099c32
Counter: 4
key: f543df6df137e6a4b26a9624be1db96c
Counter: 13
key: 11d9d419f0b96b017c5e389e9b694d61
Counter: 2
key: e499d3fa95101407645464a643f5ecb8
Counter: 12
